Date,Auto,Consumer,Oil & Gas (Energy),FMCG,IT,Media,Metal,Healthcare (Pharma),Realty,Finance,Benchmark
2015-09-29,7648.2001953125,3376.39990234375,7481.0498046875,19474.0,11863.9501953125,2356.89990234375,1605.449951171875,12700.099609375,175.25,17280.998046875,7843.2998046875
2015-09-30,7759.60009765625,3449.800048828125,7640.89990234375,19956.650390625,12032.099609375,2382.800048828125,1657.800048828125,12918.75,179.14999389648438,17216.1015625,7948.89990234375
2015-10-01,7731.5498046875,3451.14990234375,7648.5498046875,19998.349609375,12032.099609375,2412.60009765625,1650.800048828125,13140.849609375,176.14999389648438,17216.1015625,7950.89990234375
2015-10-05,7890.4501953125,3486.60009765625,7823.9501953125,20144.650390625,12002.099609375,2428.25,1702.8499755859375,13149.0,177.89999389648438,17673.845703125,8119.2998046875
2015-10-06,7947.64990234375,3518.449951171875,7923.60009765625,20663.849609375,11889.900390625,2409.550048828125,1730.699951171875,13275.75,179.39999389648438,17605.14453125,8152.89990234375
2015-10-07,8064.0498046875,3530.300048828125,8040.5,20733.44921875,11683.4501953125,2407.14990234375,1787.0,13332.400390625,183.75,17616.595703125,8177.39990234375
2015-10-08,8021.75,3509.449951171875,7926.14990234375,20452.80078125,11669.7001953125,2401.050048828125,1796.5999755859375,13212.849609375,182.10000610351562,17474.09765625,8129.35009765625
2015-10-09,8051.2001953125,3511.85009765625,7936.2998046875,20521.05078125,11807.5498046875,2411.35009765625,1834.949951171875,13277.7001953125,182.1999969482422,17590.044921875,8189.7001953125
2015-10-12,8062.60009765625,3499.300048828125,7968.0,20349.5,11630.650390625,2412.75,1870.75,13111.650390625,181.3000030517578,17582.9453125,8143.60009765625
2015-10-13,8078.2001953125,3500.949951171875,7941.2998046875,20376.400390625,11522.599609375,2416.300048828125,1860.199951171875,13115.400390625,183.25,17554.646484375,8131.7001953125
2015-10-14,8010.5498046875,3490.550048828125,7961.75,20344.25,11362.900390625,2354.949951171875,1863.3499755859375,13160.650390625,183.39999389648438,17543.046875,8107.89990234375
2015-10-15,8193.400390625,3517.699951171875,8035.7001953125,20468.150390625,11338.349609375,2477.449951171875,1886.300048828125,13168.599609375,185.25,17685.89453125,8179.5
2015-10-16,8266.650390625,3533.0,8112.5,20434.900390625,11337.7998046875,2496.800048828125,1879.5,13203.5498046875,182.64999389648438,17912.640625,8238.150390625
2015-10-19,8245.5498046875,3559.25,8289.150390625,20623.849609375,11432.150390625,2531.60009765625,1864.300048828125,13413.650390625,187.60000610351562,17854.84375,8275.0498046875
2015-10-20,8265.400390625,3549.449951171875,8250.0498046875,20545.900390625,11529.599609375,2551.10009765625,1824.199951171875,13340.9501953125,186.5500030517578,17830.04296875,8261.650390625
2015-10-21,8285.150390625,3556.64990234375,8225.650390625,20533.69921875,11549.0498046875,2550.550048828125,1847.5,13189.7998046875,183.5500030517578,17710.345703125,8251.7001953125
2015-10-23,8228.2998046875,3540.64990234375,8278.650390625,20828.150390625,11552.0,2518.800048828125,1846.699951171875,13258.5,183.0,17933.841796875,8295.4501953125
2015-10-26,8232.25,3533.60009765625,8207.150390625,20818.19921875,11576.349609375,2477.550048828125,1842.5,13234.650390625,181.64999389648438,17814.84375,8260.5498046875
2015-10-27,8272.349609375,3548.300048828125,8152.9501953125,20846.25,11583.5498046875,2482.75,1831.25,13223.0,181.85000610351562,17806.09375,8232.900390625
2015-10-28,8206.150390625,3550.199951171875,8109.7998046875,20867.80078125,11643.2998046875,2467.300048828125,1834.1500244140625,13149.150390625,179.25,17372.94921875,8171.2001953125
2015-10-29,8195.900390625,3528.14990234375,8064.5,20642.30078125,11548.150390625,2438.14990234375,1826.800048828125,13052.0,178.5,17212.0,8111.75
2015-10-30,8091.9501953125,3483.550048828125,8099.35009765625,20118.30078125,11486.900390625,2405.25,1806.050048828125,13170.150390625,176.0500030517578,17354.298828125,8065.7998046875
2015-11-02,8097.10009765625,3493.85009765625,8153.64990234375,20214.5,11546.25,2414.14990234375,1768.0999755859375,13029.7001953125,177.5500030517578,17340.3984375,8050.7998046875
2015-11-03,8102.89990234375,3496.89990234375,8231.25,20218.5,11618.400390625,2419.25,1767.5999755859375,13054.5498046875,177.39999389648438,17325.3984375,8060.7001953125
2015-11-04,8235.75,3508.85009765625,8178.0498046875,20273.80078125,11551.599609375,2425.199951171875,1768.6500244140625,12923.900390625,177.10000610351562,17220.8515625,8040.2001953125
2015-11-05,8194.150390625,3487.050048828125,8107.2001953125,20221.69921875,11414.4501953125,2382.949951171875,1735.3499755859375,12632.5,172.25,16994.90234375,7955.4501953125
2015-11-06,8144.4501953125,3482.550048828125,8168.4501953125,20251.0,11414.4501953125,2336.89990234375,1720.25,12226.650390625,172.5,16994.90234375,7954.2998046875
2015-11-09,8246.2001953125,3506.39990234375,8175.25,20496.150390625,11414.4501953125,2315.300048828125,1723.6500244140625,11989.0498046875,168.8000030517578,16994.90234375,7915.2001953125
